,date,year,quarter,month,month_name,month_abbreviation,year_month,day,day_of_week,day_name,day_abbreviation,week,is_weekend,fiscal_year,fiscal_quarter,fiscal_month,is_last_day_of_month,is_last_day_of_quarter,is_last_day_of_year
118,2021-04-29 00:00:00.0000000,2021,2,4,April,Apr,202104,29,5,Thursday,Thu,17,False,2021,2,4,False,False,False
119,2021-04-30 00:00:00.0000000,2021,2,4,April,Apr,202104,30,6,Friday,Fri,17,False,2021,2,4,True,False,False
120,2021-05-01 00:00:00.0000000,2021,2,5,May,May,202105,1,7,Saturday,Sat,17,True,2021,2,5,False,False,False
121,2021-05-02 00:00:00.0000000,2021,2,5,May,May,202105,2,8,Sunday,Sun,17,True,2021,2,5,False,False,False
122,2021-05-03 00:00:00.0000000,2021,2,5,May,May,202105,3,2,Monday,Mon,18,False,2021,2,5,False,False,False
123,2021-05-04 00:00:00.0000000,2021,2,5,May,May,202105,4,3,Tuesday,Tue,18,False,2021,2,5,False,False,False
124,2021-05-05 00:00:00.0000000,2021,2,5,May,May,202105,5,4,Wednesday,Wed,18,False,2021,2,5,False,False,False
125,2021-05-06 00:00:00.0000000,2021,2,5,May,May,202105,6,5,Thursday,Thu,18,False,2021,2,5,False,False,False
126,2021-05-07 00:00:00.0000000,2021,2,5,May,May,202105,7,6,Friday,Fri,18,False,2021,2,5,False,False,False
127,2021-05-08 00:00:00.0000000,2021,2,5,May,May,202105,8,7,Saturday,Sat,18,True,2021,2,5,False,False,False
128,2021-05-09 00:00:00.0000000,2021,2,5,May,May,202105,9,8,Sunday,Sun,18,True,2021,2,5,False,False,False
129,2021-05-10 00:00:00.0000000,2021,2,5,May,May,202105,10,2,Monday,Mon,19,False,2021,2,5,False,False,False
130,2021-05-11 00:00:00.0000000,2021,2,5,May,May,202105,11,3,Tuesday,Tue,19,False,2021,2,5,False,False,False
131,2021-05-12 00:00:00.0000000,2021,2,5,May,May,202105,12,4,Wednesday,Wed,19,False,2021,2,5,False,False,False
132,2021-05-13 00:00:00.0000000,2021,2,5,May,May,202105,13,5,Thursday,Thu,19,False,2021,2,5,False,False,False
133,2021-05-14 00:00:00.0000000,2021,2,5,May,May,202105,14,6,Friday,Fri,19,False,2021,2,5,False,False,False
134,2021-05-15 00:00:00.0000000,2021,2,5,May,May,202105,15,7,Saturday,Sat,19,True,2021,2,5,False,False,False
135,2021-05-16 00:00:00.0000000,2021,2,5,May,May,202105,16,8,Sunday,Sun,19,True,2021,2,5,False,False,False
136,2021-05-17 00:00:00.0000000,2021,2,5,May,May,202105,17,2,Monday,Mon,20,False,2021,2,5,False,False,False
137,2021-05-18 00:00:00.0000000,2021,2,5,May,May,202105,18,3,Tuesday,Tue,20,False,2021,2,5,False,False,False
138,2021-05-19 00:00:00.0000000,2021,2,5,May,May,202105,19,4,Wednesday,Wed,20,False,2021,2,5,False,False,False
139,2021-05-20 00:00:00.0000000,2021,2,5,May,May,202105,20,5,Thursday,Thu,20,False,2021,2,5,False,False,False
140,2021-05-21 00:00:00.0000000,2021,2,5,May,May,202105,21,6,Friday,Fri,20,False,2021,2,5,False,False,False
141,2021-05-22 00:00:00.0000000,2021,2,5,May,May,202105,22,7,Saturday,Sat,20,True,2021,2,5,False,False,False
142,2021-05-23 00:00:00.0000000,2021,2,5,May,May,202105,23,8,Sunday,Sun,20,True,2021,2,5,False,False,False
143,2021-05-24 00:00:00.0000000,2021,2,5,May,May,202105,24,2,Monday,Mon,21,False,2021,2,5,False,False,False
144,2021-05-25 00:00:00.0000000,2021,2,5,May,May,202105,25,3,Tuesday,Tue,21,False,2021,2,5,False,False,False
145,2021-05-26 00:00:00.0000000,2021,2,5,May,May,202105,26,4,Wednesday,Wed,21,False,2021,2,5,False,False,False
146,2021-05-27 00:00:00.0000000,2021,2,5,May,May,202105,27,5,Thursday,Thu,21,False,2021,2,5,False,False,False
147,2021-05-28 00:00:00.0000000,2021,2,5,May,May,202105,28,6,Friday,Fri,21,False,2021,2,5,False,False,False
148,2021-05-29 00:00:00.0000000,2021,2,5,May,May,202105,29,7,Saturday,Sat,21,True,2021,2,5,False,False,False
149,2021-05-30 00:00:00.0000000,2021,2,5,May,May,202105,30,8,Sunday,Sun,21,True,2021,2,5,False,False,False
150,2021-05-31 00:00:00.0000000,2021,2,5,May,May,202105,31,2,Monday,Mon,22,False,2021,2,5,True,False,False
151,2021-06-01 00:00:00.0000000,2021,2,6,June,Jun,202106,1,3,Tuesday,Tue,22,False,2021,2,6,False,False,False
152,2021-06-02 00:00:00.0000000,2021,2,6,June,Jun,202106,2,4,Wednesday,Wed,22,False,2021,2,6,False,False,False
153,2021-06-03 00:00:00.0000000,2021,2,6,June,Jun,202106,3,5,Thursday,Thu,22,False,2021,2,6,False,False,False
154,2021-06-04 00:00:00.0000000,2021,2,6,June,Jun,202106,4,6,Friday,Fri,22,False,2021,2,6,False,False,False
155,2021-06-05 00:00:00.0000000,2021,2,6,June,Jun,202106,5,7,Saturday,Sat,22,True,2021,2,6,False,False,False
156,2021-06-06 00:00:00.0000000,2021,2,6,June,Jun,202106,6,8,Sunday,Sun,22,True,2021,2,6,False,False,False
157,2021-06-07 00:00:00.0000000,2021,2,6,June,Jun,202106,7,2,Monday,Mon,23,False,2021,2,6,False,False,False
158,2021-06-08 00:00:00.0000000,2021,2,6,June,Jun,202106,8,3,Tuesday,Tue,23,False,2021,2,6,False,False,False
159,2021-06-09 00:00:00.0000000,2021,2,6,June,Jun,202106,9,4,Wednesday,Wed,23,False,2021,2,6,False,False,False
160,2021-06-10 00:00:00.0000000,2021,2,6,June,Jun,202106,10,5,Thursday,Thu,23,False,2021,2,6,False,False,False
161,2021-06-11 00:00:00.0000000,2021,2,6,June,Jun,202106,11,6,Friday,Fri,23,False,2021,2,6,False,False,False
162,2021-06-12 00:00:00.0000000,2021,2,6,June,Jun,202106,12,7,Saturday,Sat,23,True,2021,2,6,False,False,False
163,2021-06-13 00:00:00.0000000,2021,2,6,June,Jun,202106,13,8,Sunday,Sun,23,True,2021,2,6,False,False,False
164,2021-06-14 00:00:00.0000000,2021,2,6,June,Jun,202106,14,2,Monday,Mon,24,False,2021,2,6,False,False,False
165,2021-06-15 00:00:00.0000000,2021,2,6,June,Jun,202106,15,3,Tuesday,Tue,24,False,2021,2,6,False,False,False
166,2021-06-16 00:00:00.0000000,2021,2,6,June,Jun,202106,16,4,Wednesday,Wed,24,False,2021,2,6,False,False,False
167,2021-06-17 00:00:00.0000000,2021,2,6,June,Jun,202106,17,5,Thursday,Thu,24,False,2021,2,6,False,False,False
168,2021-06-18 00:00:00.0000000,2021,2,6,June,Jun,202106,18,6,Friday,Fri,24,False,2021,2,6,False,False,False
169,2021-06-19 00:00:00.0000000,2021,2,6,June,Jun,202106,19,7,Saturday,Sat,24,True,2021,2,6,False,False,False
170,2021-06-20 00:00:00.0000000,2021,2,6,June,Jun,202106,20,8,Sunday,Sun,24,True,2021,2,6,False,False,False
171,2021-06-21 00:00:00.0000000,2021,2,6,June,Jun,202106,21,2,Monday,Mon,25,False,2021,2,6,False,False,False
172,2021-06-22 00:00:00.0000000,2021,2,6,June,Jun,202106,22,3,Tuesday,Tue,25,False,2021,2,6,False,False,False
173,2021-06-23 00:00:00.0000000,2021,2,6,June,Jun,202106,23,4,Wednesday,Wed,25,False,2021,2,6,False,False,False
174,2021-06-24 00:00:00.0000000,2021,2,6,June,Jun,202106,24,5,Thursday,Thu,25,False,2021,2,6,False,False,False
175,2021-06-25 00:00:00.0000000,2021,2,6,June,Jun,202106,25,6,Friday,Fri,25,False,2021,2,6,False,False,False
176,2021-06-26 00:00:00.0000000,2021,2,6,June,Jun,202106,26,7,Saturday,Sat,25,True,2021,2,6,False,False,False
177,2021-06-27 00:00:00.0000000,2021,2,6,June,Jun,202106,27,8,Sunday,Sun,25,True,2021,2,6,False,False,False
178,2021-06-28 00:00:00.0000000,2021,2,6,June,Jun,202106,28,2,Monday,Mon,26,False,2021,2,6,False,False,False
179,2021-06-29 00:00:00.0000000,2021,2,6,June,Jun,202106,29,3,Tuesday,Tue,26,False,2021,2,6,False,False,False
180,2021-06-30 00:00:00.0000000,2021,2,6,June,Jun,202106,30,4,Wednesday,Wed,26,False,2021,2,6,True,True,False
181,2021-07-01 00:00:00.0000000,2021,3,7,July,Jul,202107,1,5,Thursday,Thu,26,False,2021,3,7,False,False,False
182,2021-07-02 00:00:00.0000000,2021,3,7,July,Jul,202107,2,6,Friday,Fri,26,False,2021,3,7,False,False,False
183,2021-07-03 00:00:00.0000000,2021,3,7,July,Jul,202107,3,7,Saturday,Sat,26,True,2021,3,7,False,False,False
184,2021-07-04 00:00:00.0000000,2021,3,7,July,Jul,202107,4,8,Sunday,Sun,26,True,2021,3,7,False,False,False
185,2021-07-05 00:00:00.0000000,2021,3,7,July,Jul,202107,5,2,Monday,Mon,27,False,2021,3,7,False,False,False
186,2021-07-06 00:00:00.0000000,2021,3,7,July,Jul,202107,6,3,Tuesday,Tue,27,False,2021,3,7,False,False,False
187,2021-07-07 00:00:00.0000000,2021,3,7,July,Jul,202107,7,4,Wednesday,Wed,27,False,2021,3,7,False,False,False
188,2021-07-08 00:00:00.0000000,2021,3,7,July,Jul,202107,8,5,Thursday,Thu,27,False,2021,3,7,False,False,False
189,2021-07-09 00:00:00.0000000,2021,3,7,July,Jul,202107,9,6,Friday,Fri,27,False,2021,3,7,False,False,False
